rf,ratio,metric,samples,value_avg_mean,value_avg_std,value_max_mean,value_max_std
3,100:0,exec.latency-p90,3,147737765.25985083,0.0,147737765.25985083,0.0
3,100:0,exec.latency-p99,3,350708441.23311967,45432829.437376395,350708441.23311967,45432829.437376395
3,100:0,sql.delete.count,3,0.0,0.0,0.0,0.0
3,100:0,sql.insert.count,3,4274.333333333333,3203.7862496323523,4274.333333333333,3203.7862496323523
3,100:0,sql.select.count,3,14170.388888888889,12046.805184286337,14841.0,12037.112735203571
3,100:0,sql.service.latency-p90,3,235983346.67821893,0.0,235983346.67821893,0.0
3,100:0,sql.service.latency-p99,3,623425537.1259748,76177606.67278346,655042855.7377363,91717990.32578735
3,100:0,sql.update.count,3,0.0,0.0,0.0,0.0
3,100:0,sys.rss,3,551549155.5555556,25450158.89741546,557137920.0,25043805.525252905
3,50:50,exec.latency-p90,3,160731213.21629775,22505312.026068076,160731213.21629775,22505312.026068076
3,50:50,exec.latency-p99,3,350708441.23311967,45432829.437376395,350708441.23311967,45432829.437376395
3,50:50,sql.delete.count,3,0.0,0.0,0.0,0.0
3,50:50,sql.insert.count,3,4462.666666666667,3629.765981896537,4753.0,3629.0016533476532
3,50:50,sql.select.count,3,14990.944444444443,13601.90336388148,15284.333333333334,13586.821789268208
3,50:50,sql.service.latency-p90,3,235983346.67821893,0.0,235983346.67821893,0.0
3,50:50,sql.service.latency-p99,3,648545898.1902118,80464929.7588568,721967923.260839,207635607.575779
3,50:50,sql.update.count,3,0.0,0.0,0.0,0.0
3,50:50,sys.rss,3,549294307.5555555,26892785.66233541,552685568.0,29888181.93815288
3,80:20,exec.latency-p90,3,147737765.25985083,0.0,147737765.25985083,0.0
3,80:20,exec.latency-p99,3,324477784.92740405,45432829.4373764,324477784.92740405,45432829.4373764
3,80:20,sql.delete.count,3,0.0,0.0,0.0,0.0
3,80:20,sql.insert.count,3,5125.444444444444,2681.6761204170084,5264.333333333333,2676.993151529031
3,80:20,sql.select.count,3,16708.166666666668,10935.44104175857,17239.666666666668,10951.464300874715
3,80:20,sql.service.latency-p90,3,235983346.67821893,0.0,235983346.67821893,0.0
3,80:20,sql.service.latency-p99,3,595106357.7617515,12095069.396367371,602089449.3336115,0.0
3,80:20,sql.update.count,3,0.0,0.0,0.0,0.0
3,80:20,sys.rss,3,554491221.3333334,24093593.742917884,558383104.0,24478767.612419706
