rf,file_size_mb,num_files,written_mb,write_elapsed_s,write_throughput_mb_s,readers,read_elapsed_s,read_total_mb,read_throughput_mb_s,single_read_avg_s,single_read_max_s
1,16,2,32,11.831810712814331,2.7045733553988236,1,3.416978359222412,16,4.68249965845293,3.4158241748809814,3.4158241748809814
1,16,2,32,11.831810712814331,2.7045733553988236,2,3.9379138946533203,32,8.126129939877003,3.928343653678894,3.937358856201172
2,16,2,32,10.70605754852295,2.9889620763728146,1,3.340193748474121,16,4.790141292644828,3.3391101360321045,3.3391101360321045
2,16,2,32,10.70605754852295,2.9889620763728146,2,3.98707914352417,32,8.025925457731264,3.9556323289871216,3.985996961593628
