rf,ratio,read_mode,runs,qps_actual_mean,qps_actual_std,reads_err_sum,writes_err_sum,sql_p90_avg_mean,sql_p90_avg_std,kv_p90_avg_mean,kv_p90_avg_std,connect_err_sum
3,100:0,strong,3,149.70628399233684,0.29586789034046024,0,0,235983346.67821893,0.0,147737765.25985083,0.0,0
3,50:50,strong,3,133.20355180230248,6.835600128091276,0,0,235983346.67821893,0.0,160731213.21629775,22505312.026068076,0
3,80:20,strong,3,149.36836032252526,0.5694583107687065,0,0,235983346.67821893,0.0,147737765.25985083,0.0,0
5,100:0,strong,3,149.7051897910612,0.2651901266205222,0,0,235983346.67821893,0.0,147737765.25985083,0.0,0
5,50:50,strong,3,138.5021087396195,13.32709765320731,0,0,235983346.67821893,0.0,149903339.91925865,3750885.3376780273,0
5,80:20,strong,3,149.79815974102166,0.15896822319539095,0,0,246360643.66879717,17974005.632913146,160731213.21629775,22505312.026068076,0
7,100:0,strong,3,149.46576830274378,0.6709094161698772,0,0,235983346.67821893,0.0,156400063.89748213,15003541.350712044,0
7,50:50,strong,3,129.85705355690354,16.13559321047016,0,0,587975131.9589928,609667655.9531753,167227937.19452122,19490171.93467039,0
7,80:20,strong,3,145.23545573309104,5.99608708862417,0,0,256737940.65937543,35948011.26582626,173724661.17274466,22505312.02606808,0
