rf,readers,runs,write_throughput_mb_s_mean,write_throughput_mb_s_std,read_throughput_mb_s_mean,read_throughput_mb_s_std,read_elapsed_s_mean,read_elapsed_s_std,single_read_avg_s_mean,single_read_avg_s_std,single_read_max_s_mean,single_read_max_s_std
1,1,1,2.704573355398824,,4.68249965845293,,3.416978359222412,,3.415824174880981,,3.415824174880981,
1,2,1,2.704573355398824,,8.126129939877003,,3.93791389465332,,3.928343653678894,,3.937358856201172,
2,1,1,2.988962076372814,,4.790141292644828,,3.340193748474121,,3.3391101360321045,,3.3391101360321045,
2,2,1,2.988962076372814,,8.025925457731264,,3.98707914352417,,3.9556323289871216,,3.985996961593628,
